Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1486,Dejan Ljubicic,at AUT,"MF,FW",Köln,de Bundesliga,25,1997,22.8,843,833,8,2,5,6,31,5,0,0,0,0,670,2,22,Matches
1487,Javier Llabrés,es ESP,"MF,FW",Mallorca,es La Liga,20,2002,2.7,97,91,6,0,0,0,20,1,5,2,3,0,64,0,3,Matches
1488,Diego Llorente,es ESP,DF,Roma,it Serie A,29,1993,24.1,1648,1592,55,28,1,3,6,8,0,0,0,0,1501,1,11,Matches
1489,Marcos Llorente,es ESP,"MF,DF",Atlético Madrid,es La Liga,28,1995,28.5,1219,1135,80,1,1,3,70,79,0,0,0,0,974,4,46,Matches
1490,Gautier Lloris,fr FRA,DF,Le Havre,fr Ligue 1,28,1995,30.9,1398,1369,27,18,2,3,3,8,0,0,0,0,1194,2,14,Matches
1491,Abou Lô,sn SEN,"MF,DF",Metz,fr Ligue 1,23,2000,2.2,74,73,1,1,0,0,0,0,0,0,0,0,65,0,1,Matches
1492,Giovani Lo Celso,ar ARG,MF,Tottenham,eng Premier League,27,1996,5.6,503,466,32,23,2,0,13,2,7,5,0,0,449,5,8,Matches
1493,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,28,1994,36.5,2278,2209,63,37,4,14,3,2,0,0,0,0,2081,6,14,Matches
1494,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,25,1998,33.4,1988,1871,108,98,5,34,10,10,0,0,0,0,1703,9,15,Matches
1495,Bradley Locko,fr FRA,DF,Brest,fr Ligue 1,21,2002,32.9,1852,1528,320,44,1,18,94,276,0,0,0,0,1544,4,32,Matches
1496,Tom Lockyer,wls WAL,DF,Luton Town,eng Premier League,28,1994,13.0,422,401,20,17,1,5,1,2,0,0,0,0,301,1,7,Matches
1497,Renan Lodi,br BRA,DF,Marseille,fr Ligue 1,25,1998,13.7,748,603,141,32,0,2,70,94,15,1,14,0,579,4,18,Matches
1498,Ruben Loftus-Cheek,eng ENG,MF,Milan,it Serie A,27,1996,23.0,733,724,7,1,1,1,13,1,0,0,0,0,619,2,8,Matches
1499,Elysée Logbo,fr FRA,FW,Le Havre,fr Ligue 1,19,2004,2.8,40,38,2,0,0,0,1,0,0,0,0,0,31,0,0,Matches
1500,Enzo Loiodice,fr FRA,MF,Las Palmas,es La Liga,22,2000,19.9,1129,1096,29,9,8,6,23,2,13,7,4,0,935,4,29,Matches
1501,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,25,1997,30.5,1241,1193,46,19,8,8,25,5,2,0,1,1,991,2,30,Matches
1502,Ademola Lookman,ng NGA,"FW,MF",Atalanta,it Serie A,25,1997,21.0,838,759,79,6,6,4,69,8,52,20,17,0,635,0,28,Matches
1503,Noah Loosli,ch SUI,DF,Bochum,de Bundesliga,26,1997,3.8,127,120,6,1,0,0,2,5,0,0,0,0,81,1,4,Matches
1504,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,32,1990,31.0,1035,770,265,69,1,0,0,0,0,0,0,0,773,0,0,Matches
1505,David López,es ESP,DF,Girona,es La Liga,33,1989,21.8,1582,1499,81,33,0,3,0,2,0,0,0,0,1468,2,4,Matches
1506,Diego López,es ESP,"MF,FW",Valencia,es La Liga,21,2002,29.5,791,761,27,2,4,3,65,17,0,0,0,0,512,3,42,Matches
1507,Fermin López,es ESP,"MF,FW",Barcelona,es La Liga,20,2003,16.1,631,614,12,1,3,10,17,3,0,0,0,0,522,5,20,Matches
1508,Javi López,es ESP,DF,Alavés,es La Liga,21,2002,26.5,1129,865,258,14,2,12,105,244,0,0,0,0,775,6,47,Matches
1509,Maxime Lopez,fr FRA,MF,Fiorentina,it Serie A,25,1997,8.9,673,646,27,14,0,3,16,1,11,0,10,0,595,0,5,Matches
1510,Maxime Lopez,fr FRA,MF,Sassuolo,it Serie A,25,1997,1.6,136,134,2,2,1,1,0,0,0,0,0,0,124,0,1,Matches
1511,Pau López,es ESP,GK,Marseille,fr Ligue 1,28,1994,32.7,1195,964,229,80,0,0,0,0,0,0,0,0,924,2,1,Matches
1512,Unai López,es ESP,MF,Rayo Vallecano,es La Liga,27,1995,23.4,1462,1340,109,53,3,18,73,10,43,22,8,1,1184,13,19,Matches
1513,Dion Lopy,sn SEN,MF,Almería,es La Liga,21,2002,21.3,882,855,25,18,2,15,7,7,0,0,0,0,745,2,11,Matches
1514,Anthony Losilla,fr FRA,MF,Bochum,de Bundesliga,37,1986,28.6,896,881,13,4,2,3,6,2,0,0,0,0,649,2,21,Matches
1515,Jordan Lotomba,ch SUI,DF,Nice,fr Ligue 1,24,1998,20.0,994,799,193,36,0,2,20,156,1,0,0,0,834,2,22,Matches
1516,Tom Louchet,fr FRA,"MF,DF",Nice,fr Ligue 1,20,2003,4.5,257,211,46,12,0,0,33,21,13,6,7,0,195,0,5,Matches
1517,Imran Louza,ma MAR,MF,Lorient,fr Ligue 1,24,1999,9.6,583,493,87,37,1,4,53,6,37,19,13,0,465,3,4,Matches
1518,Matteo Lovato,it ITA,DF,Torino,it Serie A,23,2000,6.0,272,266,6,5,0,0,0,1,0,0,0,0,243,0,1,Matches
1519,Matteo Lovato,it ITA,DF,Salernitana,it Serie A,23,2000,10.5,400,366,30,28,0,1,1,1,0,0,0,0,323,4,2,Matches
1520,Dejan Lovren,hr CRO,DF,Lyon,fr Ligue 1,34,1989,8.0,440,418,22,10,0,2,3,1,0,0,0,0,371,0,5,Matches
