Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
1,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22,2000,4,2,238,2.6,4,1.51,12,8,66.7,1,0,1,2,100.0,0,0,0,0,,Matches
2,Alisson,br BRA,GK,Liverpool,eng Premier League,30,1992,28,28,2520,28.0,30,1.07,109,80,73.4,16,8,4,8,28.6,1,1,0,0,0.0,Matches
3,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30,1993,31,31,2699,30.0,53,1.77,188,136,74.5,11,9,11,4,12.9,7,5,2,0,28.6,Matches
4,Simone Aresti,it ITA,GK,Cagliari,it Serie A,37,1986,1,0,1,0.0,1,90.00,1,0,100.0,0,0,0,0,,1,1,0,0,0.0,Matches
5,Kepa Arrizabalaga,es ESP,GK,Real Madrid,es La Liga,28,1994,14,13,1198,13.3,9,0.68,38,30,76.3,10,2,1,8,61.5,0,0,0,0,,Matches
6,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,21,2002,34,34,3060,34.0,58,1.71,158,99,65.2,11,9,14,10,29.4,5,3,2,0,40.0,Matches
7,Emil Audero,id IDN,GK,Inter,it Serie A,26,1997,4,4,337,3.7,3,0.80,11,8,72.7,2,1,1,2,50.0,0,0,0,0,,Matches
8,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,19,2004,1,0,5,0.1,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Matches
9,Augusto Batalla,ar ARG,GK,Granada,es La Liga,27,1996,17,17,1530,17.0,28,1.65,86,58,67.4,3,4,10,3,17.6,0,0,0,0,,Matches
10,Daniel Batz,de GER,GK,Mainz 05,de Bundesliga,32,1991,4,4,360,4.0,3,0.75,17,14,82.4,0,2,2,1,25.0,0,0,0,0,,Matches
11,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,33,1990,34,34,3060,34.0,66,1.94,211,143,69.7,13,7,14,2,5.9,5,2,3,0,60.0,Matches
12,Alaa Bellaarouch,ma MAR,GK,Strasbourg,fr Ligue 1,21,2002,15,15,1350,15.0,26,1.73,63,37,63.5,4,2,9,2,13.3,4,3,1,0,25.0,Matches
13,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,30,1993,5,3,383,4.3,7,1.64,15,8,53.3,1,0,2,1,33.3,0,0,0,0,,Matches
14,Etrit Berisha,al ALB,GK,Empoli,it Serie A,34,1989,14,14,1260,14.0,25,1.79,74,49,68.9,3,3,8,4,28.6,3,2,1,0,33.3,Matches
15,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,25,1998,4,4,360,4.0,11,2.75,34,23,67.6,1,1,2,0,0.0,0,0,0,0,,Matches
16,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,32,1991,32,32,2876,32.0,34,1.06,129,94,75.2,15,10,7,13,40.6,3,2,1,0,33.3,Matches
17,Rubén Blanco,es ESP,GK,Marseille,fr Ligue 1,28,1995,2,1,121,1.3,2,1.49,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
18,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,32,1991,21,21,1890,21.0,30,1.43,76,46,65.8,10,4,7,5,23.8,4,4,0,0,0.0,Matches
19,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,32,1991,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches
20,Claudio Bravo,cl CHI,GK,Betis,es La Liga,40,1983,7,7,630,7.0,5,0.71,20,16,75.0,3,4,0,2,28.6,0,0,0,0,,Matches
21,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,28,1995,4,4,360,4.0,3,0.75,22,19,86.4,3,1,0,1,25.0,0,0,0,0,,Matches
22,Alexander Brunst,de GER,GK,Darmstadt 98,de Bundesliga,28,1995,3,3,270,3.0,10,3.33,17,7,41.2,0,1,2,0,0.0,0,0,0,0,,Matches
