Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
945,Rubén García,es ESP,"FW,MF",Osasuna,es La Liga,30,1993,17.2,1,0,0,24,27,6,101,12,18,0,0,0,86,30,36,45.5,Matches
946,Santiago García,es ESP,FW,Getafe,es La Liga,21,2001,0.3,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,,Matches
947,Ulisses Garcia,ch SUI,DF,Marseille,fr Ligue 1,27,1996,10.1,0,0,0,15,11,0,49,7,16,0,0,0,45,17,10,63.0,Matches
948,Unai García,es ESP,DF,Osasuna,es La Liga,31,1992,6.2,6,1,1,9,1,0,5,8,9,0,0,0,21,4,7,36.4,Matches
949,Alejandro Garnacho,ar ARG,FW,Manchester Utd,eng Premier League,19,2004,28.5,4,0,0,20,54,15,58,18,15,2,0,0,106,6,25,19.4,Matches
950,James Garner,eng ENG,MF,Everton,eng Premier League,22,2001,33.4,7,0,0,39,44,3,112,45,44,0,0,0,172,23,24,48.9,Matches
951,Luca Garritano,it ITA,"MF,DF",Frosinone,it Serie A,29,1994,5.4,1,0,0,6,7,0,16,4,5,0,0,0,34,3,7,30.0,Matches
952,Yarek Gasiorowski,es ESP,DF,Valencia,es La Liga,18,2005,8.2,1,0,0,11,2,0,6,15,12,0,0,1,15,15,4,78.9,Matches
953,Johan Gastien,fr FRA,MF,Clermont Foot,fr Ligue 1,35,1988,25.1,7,0,0,31,29,1,39,36,22,0,0,0,165,17,16,51.5,Matches
954,Federico Gatti,it ITA,DF,Juventus,it Serie A,25,1998,29.3,7,0,0,39,15,0,19,19,19,1,0,2,116,50,31,61.7,Matches
955,Federico Gattoni,ar ARG,"DF,FW",Sevilla,es La Liga,24,1999,0.1,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,66.7,Matches
956,Gavi,es ESP,"MF,FW",Barcelona,es La Liga,18,2004,10.5,5,0,0,31,23,4,8,8,21,0,0,0,44,13,26,33.3,Matches
957,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,31,1992,38.0,2,0,0,0,8,0,0,0,2,0,0,0,46,8,0,100.0,Matches
958,Yann Gboho,fr FRA,"MF,FW",Toulouse,fr Ligue 1,22,2001,13.3,1,0,0,9,38,2,15,4,4,2,0,0,56,5,7,41.7,Matches
959,Dennis Geiger,de GER,MF,Hoffenheim,de Bundesliga,25,1998,0.7,1,0,0,2,0,0,0,0,0,0,0,0,1,1,1,50.0,Matches
960,Gelabert,es ESP,"MF,FW",Toulouse,fr Ligue 1,22,2000,8.4,1,0,0,10,14,0,9,5,8,0,0,0,45,9,10,47.4,Matches
961,Francesco Gelli,it ITA,"MF,DF",Frosinone,it Serie A,26,1996,17.3,3,0,0,15,40,1,53,11,13,0,0,0,82,15,16,48.4,Matches
962,Luca Gemello,it ITA,GK,Torino,it Serie A,23,2000,2.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
963,Valentin Gendrey,fr FRA,DF,Lecce,it Serie A,23,2000,33.8,5,0,0,27,40,3,61,35,33,0,1,0,104,53,39,57.6,Matches
964,Denis Genreau,au AUS,"MF,FW",Toulouse,fr Ligue 1,24,1999,5.2,0,0,0,9,10,0,7,6,9,0,0,0,41,6,6,50.0,Matches
965,Yannick Gerhardt,de GER,"MF,DF",Wolfsburg,de Bundesliga,29,1994,18.1,5,0,0,18,16,2,27,7,20,0,0,0,78,28,27,50.9,Matches
966,Anwar El Ghazi,nl NED,"MF,DF",Mainz 05,de Bundesliga,28,1995,0.6,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,,Matches
967,Farés Ghedjemis,fr FRA,"FW,MF",Frosinone,it Serie A,20,2002,2.0,1,0,0,2,0,1,6,1,0,0,0,0,10,1,2,33.3,Matches
968,Saman Ghoddos,ir IRN,DF,Brentford,eng Premier League,29,1993,8.2,5,0,0,13,9,2,42,5,19,0,0,0,39,4,12,25.0,Matches
969,Lautaro Gianetti,ar ARG,DF,Udinese,it Serie A,29,1993,7.0,4,0,0,9,0,0,0,19,4,0,0,1,25,8,8,50.0,Matches
