Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
63,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,32,1991,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
64,Carlos Alcaraz,ar ARG,MF,Juventus,it Serie A,20,2002,4.2,6,1.42,6,0,0,0,0,0,1,0.24,1,0,0,0,0,0,Matches
65,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,32,1991,34.8,75,2.15,52,10,1,7,2,3,5,0.14,3,0,0,2,0,0,Matches
66,Omar Alderete,py PAR,DF,Getafe,es La Liga,26,1996,24.4,31,1.27,24,0,4,2,1,0,3,0.12,3,0,0,0,0,0,Matches
67,Iván Alejo,es ESP,MF,Cádiz,es La Liga,28,1995,18.8,37,1.97,25,3,1,0,8,0,5,0.27,3,0,0,0,2,0,Matches
68,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25,1998,11.3,36,3.18,21,12,0,1,1,1,2,0.18,1,1,0,0,0,0,Matches
69,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24,1998,23.9,126,5.27,80,33,5,6,0,2,7,0.29,4,3,0,0,0,0,Matches
70,Aboubacar Ali,km COM,"MF,FW",Strasbourg,fr Ligue 1,17,2006,1.4,1,0.69,1,0,0,0,0,0,1,0.69,1,0,0,0,0,0,Matches
71,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,19,2004,2.8,3,1.08,1,0,1,0,1,0,1,0.36,0,0,0,0,1,0,Matches
72,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,19,2004,9.6,34,3.56,20,4,5,0,5,0,4,0.42,3,0,0,0,1,0,Matches
